,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AUDUSD=X,332011,0.7159220576286316,762306.0017246604
1,2019-01-31,BUY,GBPUSD=X,470162,1.30804443359375,147313.2147373557
2,2019-01-31,BUY,NZDUSD=X,212640,0.6823004484176636,2228.8473858237267
3,2019-01-31,BUY,USDCLP=X,1,666.7999877929688,1562.047398030758
4,2019-01-31,BUY,USDHUF=X,3,277.1629943847656,730.558414876461
5,2019-02-28,SELL,AUDUSD=X,62022,0.719398558139801,45349.0957878232
6,2019-02-28,SELL,GBPUSD=X,104231,1.3258028030395508,183538.84775143862
7,2019-02-28,BUY,NZDUSD=X,143252,0.6895790696144104,84755.2668710351
8,2019-02-28,BUY,USDCHF=X,83577,0.9997100234031677,1202.50224506855
9,2019-02-28,BUY,USDHUF=X,4,277.7510070800781,91.49821674823761
10,2019-03-29,SELL,AUDUSD=X,102751,0.7084510922431946,72885.55639582872
11,2019-03-29,SELL,GBPUSD=X,195458,1.3152703046798706,329965.6596079469
12,2019-03-29,SELL,NZDUSD=X,158141,0.6798281073570251,437474.3563334942
13,2019-03-29,SELL,USDHUF=X,6,284.1199951171875,439179.0763041973
14,2019-03-29,BUY,USDBRL=X,24367,3.9881999492645264,341998.6081404686
15,2019-03-29,BUY,USDCAD=X,50318,1.3411699533462524,274513.61842799187
16,2019-03-29,BUY,USDCHF=X,37828,0.994700014591217,236886.1062760353
17,2019-03-29,BUY,USDINR=X,143,69.37000274658203,226966.19588327408
18,2019-03-29,BUY,USDPLN=X,29533,3.814300060272217,114318.4722032547
19,2019-03-29,BUY,USDRUB=X,37,64.81559753417969,111920.29509449005
20,2019-03-29,BUY,USDSGD=X,35234,1.3556900024414062,64153.91354846954
21,2019-03-29,BUY,USDTRY=X,11892,5.394700050354004,0.1405496597290039
22,2019-04-30,SELL,GBPUSD=X,23634,1.2920230627059937,30535.813613653183
23,2019-04-30,SELL,NZDUSD=X,58383,0.6667200326919556,69460.92928230762
24,2019-04-30,SELL,USDBRL=X,24367,3.9291999340057373,165203.74407422543
25,2019-04-30,SELL,USDINR=X,46,69.84200286865234,168416.47620618343
26,2019-04-30,SELL,USDTRY=X,2240,5.944699764251709,181732.60367810726
27,2019-04-30,BUY,AUDUSD=X,3023,0.7044287323951721,179603.11562007666
28,2019-04-30,BUY,USDCAD=X,20089,1.3459999561309814,152563.32250136137
29,2019-04-30,BUY,USDCHF=X,96849,1.019320011138916,53843.19874256849
30,2019-04-30,BUY,USDPLN=X,4226,3.852260112762451,37563.547506034374
31,2019-04-30,BUY,USDRUB=X,66,64.63150024414062,33297.86848992109
32,2019-04-30,BUY,USDSGD=X,24455,1.361549973487854,1.1638882756233215
33,2019-05-31,SELL,AUDUSD=X,6196,0.691840410232544,4287.807070076466
34,2019-05-31,SELL,GBPUSD=X,52115,1.2629451751708984,70106.19487410784
35,2019-05-31,SELL,USDCHF=X,101337,1.0082999467849731,172284.28658145666
36,2019-05-31,SELL,USDHUF=X,1,292.5199890136719,172576.80657047033
37,2019-05-31,SELL,USDINR=X,51,69.81500244140625,176137.37169498205
38,2019-05-31,SELL,USDPLN=X,8659,3.85509991645813,209518.681871593
39,2019-05-31,SELL,USDRUB=X,78,64.9207992553711,214582.50421351194
40,2019-05-31,SELL,USDTRY=X,9651,6.016600131988525,272648.7120873332
